actual_sex	Rx	Ry
male	0.71	0.1111
male	0.6933	0.2
male	0.693	0.125
male	0.6913	0.1111
male	0.6883	0.0588
male	0.6767	0.1111
male	0.6757	0.1111
male	0.673	0.2
male	0.6697	0.2353
male	0.667	0.0769
male	0.6655	0.2174
male	0.6652	0.2
male	0.6643	0.1667
male	0.6588	0.2
male	0.6545	0.1176
male	0.6511	0.1111
male	0.6498	0.1667
male	0.6497	0.2
male	0.6484	0.1667
male	0.6452	0.2
male	0.6441	0.12
male	0.64	0.1333
male	0.6375	0.2353
male	0.6342	0.1579
male	0.6339	0.1154
male	0.6338	0.1667
male	0.6329	0.1111
male	0.63	0.1176
male	0.6297	0.1667
male	0.6292	0.1111
male	0.6215	0.08
male	0.6213	0.1667
male	0.618	0.25
male	0.6175	0.2
male	0.6168	0.1053
male	0.6152	0.2105
male	0.6146	0.1176
male	0.6143	0.1176
male	0.613	0.1333
male	0.6086	0.1481
male	0.6085	0.0833
male	0.6051	0.0833
male	0.6037	0.0435
male	0.6025	0.1429
male	0.6025	0.1538
male	0.6022	0.1176
male	0.6013	0.1429
male	0.6006	0.0833
male	0.6001	0.0833
male	0.5992	0.0833
male	0.5977	0.1429
male	0.5967	0.1667
male	0.5956	0.16
male	0.593	0.0588
male	0.5923	0.1739
male	0.5905	0.2222
male	0.5903	0.0833
male	0.5888	0.087
male	0.5887	0.1739
male	0.5859	0.1579
male	0.5853	0.1429
male	0.5824	0.0588
male	0.5812	0.0833
male	0.5792	0.1905
male	0.5783	0.1579
male	0.5777	0.1
male	0.5767	0.1538
male	0.576	0.125
male	0.5749	0.0784
male	0.5745	0.2222
male	0.5744	0.1538
male	0.5742	0.125
male	0.5742	0.25
male	0.5741	0.125
male	0.5741	0.2034
male	0.5727	0.1481
male	0.5725	0.125
male	0.5724	0.1429
male	0.5705	0.1429
male	0.5701	0.1765
male	0.57	0.125
male	0.5698	0.0667
male	0.5695	0.1481
male	0.5694	0.0556
male	0.5675	0.1579
male	0.5646	0.087
male	0.5637	0.098
